,sum_tx_matic,avg_tx_gas_cost,tx_date
155,102804733.23644683,0.0003374712960613942,2021-06-05
156,52244355.76487578,0.00039876264390301916,2021-06-06
157,88269320.09944434,0.00034582632937205505,2021-06-07
158,136934095.1912661,0.0004384677701360817,2021-06-08
159,112416935.77028313,0.0005573166669669658,2021-06-09
160,116022047.86967622,0.0005378944803232102,2021-06-10
161,91187098.6740523,0.0004964329694492365,2021-06-11
162,100063446.06970422,0.0006967763706107366,2021-06-12
163,75898959.39016776,0.0007768398333617725,2021-06-13
164,180649963.13509616,0.0018034972327084006,2021-06-14
165,137364068.2004351,0.001562912537126758,2021-06-15
166,258172237.13400283,0.0031495546117401895,2021-06-16
167,316145579.37126243,0.004709191468657626,2021-06-17
168,146195752.00973627,0.0035083814188947657,2021-06-18
169,74367334.78172734,0.0023389613713393938,2021-06-19
170,76249775.72004037,0.0033180706396482183,2021-06-20
171,103124334.213469,0.004933692777854363,2021-06-21
172,181563993.43274394,0.008492312152016115,2021-06-22
173,106445746.30930752,0.004120637789130029,2021-06-23
174,66447872.34215682,0.003123034682894501,2021-06-24
175,76730894.87352544,0.0034253255490414394,2021-06-25
176,48813801.48990193,0.0028069436233244833,2021-06-26
177,76295229.06730625,0.0014868604037299282,2021-06-27
178,158123106.25777596,0.002448518112838709,2021-06-28
179,60993420.114674635,0.0035388762292478683,2021-06-29
180,56454437.98259737,0.004506605430342279,2021-06-30
181,47774930.26268522,0.004651204251335627,2021-07-01
182,42497571.57496404,0.005491870302809735,2021-07-02
183,35562179.3422968,0.004261070849336974,2021-07-03
184,25108256.744339038,0.005327531443480172,2021-07-04
185,29101750.499738447,0.0041393491476745935,2021-07-05
186,40457266.89509652,0.003525488027093776,2021-07-06
187,62168941.48131887,0.003494099847588335,2021-07-07
188,40718799.6828374,0.005048089947600172,2021-07-08
189,39715619.96014154,0.007451156572875532,2021-07-09
190,48641587.40225318,0.005356711696779648,2021-07-10
191,22649488.831066802,0.004356685542711588,2021-07-11
192,67084012.70976104,0.007771018955464363,2021-07-12
193,31981698.09525423,0.004779618246725154,2021-07-13
194,37969136.939383656,0.0049744143185140475,2021-07-14
195,34793716.94341408,0.005910978104629601,2021-07-15
196,56426687.838556275,0.005303392188129475,2021-07-16
197,79352671.34927815,0.006579103905960708,2021-07-17
198,32644331.16894914,0.004329587896392661,2021-07-18
199,41378596.20274303,0.004924037556388976,2021-07-19
200,90929770.09437805,0.006233879515160776,2021-07-20
201,199399362.10547107,0.005449024359803679,2021-07-21
202,55179507.6912981,0.005103912484047086,2021-07-22
