Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4023.77/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x4191d90940be6bf98bd4b7b9ca2f86d2a1dec44ecbec6cde37c8f5a6171562c6,11374066,1606925130,12/2/20 16:05,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.0217382,87.46951701,598.26,,,Borrow
0x597740f193b6356c56669b1b010ae56c08c47669786aa83c1fda5347300a9c22,11374082,1606925358,12/2/20 16:09,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.044616,179.5245223,598.26,,,Borrow
0x357320a5621684534826bd8edbdd697c5b3d4600f6f2ccd36e14627a3aa96701,11374087,1606925504,12/2/20 16:11,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.01840775,74.06855383,598.26,Error(0),Out of gas,Swap Borrow Rate Mode
0x5b19a84ad9841fecce89707994d6c4d97aa014bfc7ec4d4852e828c286484020,11374094,1606925589,12/2/20 16:13,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.046160532,185.7393638,598.26,,,Borrow
0x62d0bbeab1336e25a593f49e53be8ec988ae97d20ccd06ec06b52b0feab0608d,11374100,1606925645,12/2/20 16:14,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.0128238,51.60002173,598.26,,,Swap Borrow Rate Mode
0x7d7e352585d2950962ddc63c7dbc87daf5e873dcceb73c59f94fc55f9f0bd1c1,11374126,1606925872,12/2/20 16:17,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.046156396,185.7227215,598.26,,,Borrow
0x5285020cc5d0acdca5936a61abc1738c2cf0376561fbbbae0698ec2ea883389a,11374132,1606925934,12/2/20 16:18,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.058704318,236.2126736,598.26,,,Borrow
0xe48fea08d38c5bae66af7300cf17dc597adf07683820a4e08c67f3b74c2ae4ac,11374187,1606926522,12/2/20 16:28,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.041668216,167.6633175,598.26,,,Borrow
0x8aa88eeb4cbbb5d985abb458a483c52c6dc4aeaa362a7fb3cfed0974e7e8b6e6,11374189,1606926536,12/2/20 16:28,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.042088876,169.3559566,598.26,,,Borrow
0x0ba82835f11c81c8b8680e1ebd049b22113f7878843db0c241be18d93f3c2de5,11374191,1606926556,12/2/20 16:29,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.02308624,92.89371992,598.26,,,Borrow
